RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,KOT,Interval,Subcomponent1,Subcomponent2
42,94,24316,76,77,1,2,5,1,s,pre,1,62,41,Legato,Forte
43,96,24578,74,81,1,2,5,1,s,pre,1,47,42,Legato,Forte
44,98,24875,76,80,1,2,5,1,s,pre,1,70,43,Legato,Forte
46,102,25437,74,76,1,2,5,1,s,pre,1,11,45,Legato,Forte
47,104,25734,71,63,1,2,5,1,s,pre,1,9,46,Legato,Forte
2,18,8185,78,73,1,2,5,2,s,pre,1,26,1,Legato,Forte
3,20,8481,79,74,1,2,5,2,s,pre,1,40,2,Legato,Forte
4,22,8766,76,73,1,2,5,2,s,pre,1,2,3,Legato,Forte
5,24,9073,72,75,1,2,5,2,s,pre,1,81,4,Legato,Forte
10,32,10528,78,70,1,2,5,2,s,pre,1,13,9,Legato,Forte
11,34,10823,79,71,1,2,5,2,s,pre,1,46,10,Legato,Forte
12,36,11104,76,74,1,2,5,2,s,pre,1,100,11,Legato,Forte
13,38,11393,72,78,1,2,5,2,s,pre,1,49,12,Legato,Forte
14,40,11669,76,77,1,2,5,2,s,pre,1,86,13,Legato,Forte
15,42,11962,79,85,1,2,5,2,s,pre,1,67,14,Legato,Forte
16,44,12232,84,82,1,2,5,2,s,pre,1,29,15,Legato,Forte
17,46,12539,83,79,1,2,5,2,s,pre,1,74,16,Legato,Forte
22,56,13936,81,74,1,2,5,2,s,pre,1,68,21,Legato,Forte
23,58,14229,84,71,1,2,5,2,s,pre,1,20,22,Legato,Forte
24,60,14519,81,67,1,2,5,2,s,pre,1,55,23,Legato,Forte
25,62,14808,78,62,1,2,5,2,s,pre,1,69,24,Legato,Forte
41,92,22023,77,68,1,2,5,2,s,pre,1,89,40,Legato,Forte
42,94,22298,76,74,1,2,5,2,s,pre,1,84,41,Legato,Forte
43,96,22570,74,78,1,2,5,2,s,pre,1,43,42,Legato,Forte
44,98,22862,76,76,1,2,5,2,s,pre,1,75,43,Legato,Forte
45,100,23131,79,76,1,2,5,2,s,pre,1,108,44,Legato,Forte
46,102,23391,74,70,1,2,5,2,s,pre,1,55,45,Legato,Forte
47,105,23680,71,61,1,2,5,2,s,pre,1,-3,46,Legato,Forte
2,18,9600,78,91,1,2,6,1,s,pre,1,50,1,Legato,Forte
3,20,10116,79,85,1,2,6,1,s,pre,1,34,2,Legato,Forte
4,22,10596,76,88,1,2,6,1,s,pre,1,96,3,Legato,Forte
5,24,11066,72,91,1,2,6,1,s,pre,1,100,4,Legato,Forte
10,34,13300,78,95,1,2,6,1,s,pre,1,43,9,Legato,Forte
11,36,13714,79,90,1,2,6,1,s,pre,1,73,10,Legato,Forte
12,38,14160,76,88,1,2,6,1,s,pre,1,84,11,Legato,Forte
13,40,14602,72,93,1,2,6,1,s,pre,1,26,12,Legato,Forte
14,42,15054,76,95,1,2,6,1,s,pre,1,79,13,Legato,Forte
15,44,15481,79,91,1,2,6,1,s,pre,1,75,14,Legato,Forte
16,46,15899,84,95,1,2,6,1,s,pre,1,51,15,Legato,Forte
17,48,16320,83,91,1,2,6,1,s,pre,1,84,16,Legato,Forte
22,58,18440,81,89,1,2,6,1,s,pre,1,100,21,Legato,Forte
23,60,18824,84,89,1,2,6,1,s,pre,1,52,22,Legato,Forte
24,62,19246,81,90,1,2,6,1,s,pre,1,48,23,Legato,Forte
25,64,19646,78,96,1,2,6,1,s,pre,1,44,24,Legato,Forte
41,94,29674,77,95,1,2,6,1,s,pre,1,71,40,Legato,Forte
42,96,30049,76,93,1,2,6,1,s,pre,1,75,41,Legato,Forte
43,98,30408,74,87,1,2,6,1,s,pre,1,52,42,Legato,Forte
44,100,30812,76,94,1,2,6,1,s,pre,1,60,43,Legato,Forte
45,102,31194,79,90,1,2,6,1,s,pre,1,44,44,Legato,Forte
46,104,31570,74,96,1,2,6,1,s,pre,1,62,45,Legato,Forte
47,107,31958,71,63,1,2,6,1,s,pre,1,-2,46,Legato,Forte
2,18,8176,78,91,1,2,6,2,s,pre,1,19,1,Legato,Forte
3,20,8533,79,86,1,2,6,2,s,pre,1,76,2,Legato,Forte
4,22,8853,76,77,1,2,6,2,s,pre,1,14,3,Legato,Forte
5,24,9175,72,91,1,2,6,2,s,pre,1,34,4,Legato,Forte
10,34,10911,78,94,1,2,6,2,s,pre,1,32,9,Legato,Forte
11,36,11209,79,88,1,2,6,2,s,pre,1,72,10,Legato,Forte
12,38,11553,76,93,1,2,6,2,s,pre,1,64,11,Legato,Forte
13,40,11867,72,97,1,2,6,2,s,pre,1,29,12,Legato,Forte
14,42,12204,76,94,1,2,6,2,s,pre,1,73,13,Legato,Forte
15,44,12545,79,94,1,2,6,2,s,pre,1,66,14,Legato,Forte
16,46,12859,84,91,1,2,6,2,s,pre,1,40,15,Legato,Forte
17,48,13187,83,98,1,2,6,2,s,pre,1,111,16,Legato,Forte
22,58,14857,81,91,1,2,6,2,s,pre,1,116,21,Legato,Forte
23,60,15196,84,89,1,2,6,2,s,pre,1,62,22,Legato,Forte
24,62,15525,81,91,1,2,6,2,s,pre,1,33,23,Legato,Forte
25,64,15856,78,101,1,2,6,2,s,pre,1,40,24,Legato,Forte
41,96,24455,77,89,1,2,6,2,s,pre,1,142,40,Legato,Forte
42,98,24787,76,89,1,2,6,2,s,pre,1,131,41,Legato,Forte
43,100,25097,74,101,1,2,6,2,s,pre,1,80,42,Legato,Forte
45,104,25444,76,90,1,2,6,2,s,pre,1,77,43,Legato,Forte
46,106,25763,79,96,1,2,6,2,s,pre,1,40,44,Legato,Forte
47,108,26078,74,93,1,2,6,2,s,pre,1,60,45,Legato,Forte
48,110,26413,71,85,1,2,6,2,s,pre,1,7,46,Legato,Forte
2,18,9495,78,83,1,2,7,1,s,pre,0,18,1,Legato,Forte
3,20,9820,79,81,1,2,7,1,s,pre,0,57,2,Legato,Forte
4,22,10148,76,71,1,2,7,1,s,pre,0,18,3,Legato,Forte
5,25,10502,72,64,1,2,7,1,s,pre,0,-10,4,Legato,Forte
10,34,12198,78,79,1,2,7,1,s,pre,0,37,9,Legato,Forte
11,36,12529,79,81,1,2,7,1,s,pre,0,27,10,Legato,Forte
12,38,12862,76,61,1,2,7,1,s,pre,0,31,11,Legato,Forte
13,41,13210,72,59,1,2,7,1,s,pre,0,-37,12,Legato,Forte
14,42,13553,76,76,1,2,7,1,s,pre,0,13,13,Legato,Forte
15,44,13879,79,83,1,2,7,1,s,pre,0,35,14,Legato,Forte
16,46,14216,84,88,1,2,7,1,s,pre,0,3,15,Legato,Forte
17,48,14602,83,72,1,2,7,1,s,pre,0,4,16,Legato,Forte
22,58,16266,81,72,1,2,7,1,s,pre,0,40,21,Legato,Forte
23,60,16618,84,81,1,2,7,1,s,pre,0,5,22,Legato,Forte
24,62,16948,81,79,1,2,7,1,s,pre,0,5,23,Legato,Forte
25,64,17308,78,74,1,2,7,1,s,pre,0,32,24,Legato,Forte
41,96,26309,77,87,1,2,7,1,s,pre,0,83,40,Legato,Forte
42,98,26656,76,72,1,2,7,1,s,pre,0,45,41,Legato,Forte
43,100,26988,74,74,1,2,7,1,s,pre,0,17,42,Legato,Forte
44,102,27346,76,74,1,2,7,1,s,pre,0,37,43,Legato,Forte
45,104,27701,79,74,1,2,7,1,s,pre,0,73,44,Legato,Forte
46,106,28054,74,65,1,2,7,1,s,pre,0,67,45,Legato,Forte
47,109,28409,71,60,1,2,7,1,s,pre,0,-26,46,Legato,Forte
2,18,8197,78,81,1,2,7,2,s,pre,1,37,1,Legato,Forte
3,20,8499,79,81,1,2,7,2,s,pre,1,54,2,Legato,Forte
4,23,8805,76,71,1,2,7,2,s,pre,1,-4,3,Legato,Forte
5,24,9139,72,71,1,2,7,2,s,pre,1,23,4,Legato,Forte
10,34,10699,78,81,1,2,7,2,s,pre,1,21,9,Legato,Forte
11,36,10997,79,79,1,2,7,2,s,pre,1,35,10,Legato,Forte
12,38,11295,76,66,1,2,7,2,s,pre,1,28,11,Legato,Forte
13,41,11613,72,69,1,2,7,2,s,pre,1,-35,12,Legato,Forte
14,42,11904,76,67,1,2,7,2,s,pre,1,13,13,Legato,Forte
15,44,12222,79,80,1,2,7,2,s,pre,1,13,14,Legato,Forte
16,47,12515,84,79,1,2,7,2,s,pre,1,-1,15,Legato,Forte
17,49,12847,83,75,1,2,7,2,s,pre,1,-7,16,Legato,Forte
22,58,14390,81,79,1,2,7,2,s,pre,1,29,21,Legato,Forte
23,60,14700,84,80,1,2,7,2,s,pre,1,12,22,Legato,Forte
24,63,15004,81,75,1,2,7,2,s,pre,1,-9,23,Legato,Forte
25,65,15319,78,75,1,2,7,2,s,pre,1,-3,24,Legato,Forte
41,96,23202,77,70,1,2,7,2,s,pre,1,65,40,Legato,Forte
42,98,23525,76,67,1,2,7,2,s,pre,1,48,41,Legato,Forte
43,100,23829,74,68,1,2,7,2,s,pre,1,9,42,Legato,Forte
44,102,24141,76,74,1,2,7,2,s,pre,1,19,43,Legato,Forte
45,104,24459,79,75,1,2,7,2,s,pre,1,21,44,Legato,Forte
46,106,24764,74,70,1,2,7,2,s,pre,1,45,45,Legato,Forte
47,109,25093,71,56,1,2,7,2,s,pre,1,-22,46,Legato,Forte
2,18,8146,78,81,1,2,8,1,s,pre,1,87,1,Legato,Forte
3,20,8461,79,81,1,2,8,1,s,pre,1,87,2,Legato,Forte
4,22,8737,76,76,1,2,8,1,s,pre,1,90,3,Legato,Forte
5,24,9043,72,78,1,2,8,1,s,pre,1,24,4,Legato,Forte
10,34,10530,78,85,1,2,8,1,s,pre,1,87,9,Legato,Forte
12,38,11101,76,85,1,2,8,1,s,pre,1,88,11,Legato,Forte
13,41,11397,72,84,1,2,8,1,s,pre,1,-10,12,Legato,Forte
14,42,11670,76,85,1,2,8,1,s,pre,1,54,13,Legato,Forte
15,44,11944,79,91,1,2,8,1,s,pre,1,64,14,Legato,Forte
16,46,12228,84,97,1,2,8,1,s,pre,1,13,15,Legato,Forte
17,48,12518,83,87,1,2,8,1,s,pre,1,131,16,Legato,Forte
22,58,13979,81,93,1,2,8,1,s,pre,1,77,21,Legato,Forte
23,60,14264,84,98,1,2,8,1,s,pre,1,25,22,Legato,Forte
24,62,14546,81,90,1,2,8,1,s,pre,1,93,23,Legato,Forte
25,64,14839,78,90,1,2,8,1,s,pre,1,4,24,Legato,Forte
