expMode,trialNumber,midFile,ratingCategory,rating,RT1 (manual),RT2 (ratingScale),ratingOrder,subjectNumber,date,globalClock
experiment, 40, ./mid/low_16.mid, dynamics, 1, 1.3286853820000033, 1.315, articulation, 2, 2020_Aug_14_1206, 1927.621380308
experiment, 41, ./mid/low_7.mid, articulation, 1, 1.5498350080006276, 1.537, articulation, 2, 2020_Aug_14_1206, 1962.1375715900003
experiment, 41, ./mid/low_7.mid, dynamics, 1, 1.4611584189997302, 1.446, articulation, 2, 2020_Aug_14_1206, 1963.621072043
experiment, 42, ./mid/art_1.mid, dynamics, 2, 2.2506631500000367, 2.237, dynamics, 2, 2020_Aug_14_1206, 1997.220102233
experiment, 42, ./mid/art_1.mid, articulation, 4, 1.582892462000018, 1.569, dynamics, 2, 2020_Aug_14_1206, 1998.8253594139996
experiment, 43, ./mid/high_10.mid, dynamics, 4, 1.2527246279996689, 1.239, dynamics, 2, 2020_Aug_14_1206, 2032.3693349220002
experiment, 43, ./mid/high_10.mid, articulation, 4, 1.1993143899999268, 1.185, dynamics, 2, 2020_Aug_14_1206, 2033.591297467
experiment, 44, ./mid/low_4.mid, articulation, 1, 1.5339914360001785, 1.52, articulation, 2, 2020_Aug_14_1206, 2066.035418593
experiment, 44, ./mid/low_4.mid, dynamics, 1, 1.5322017189992039, 1.518, articulation, 2, 2020_Aug_14_1206, 2067.590372343
experiment, 45, ./mid/dyn_10.mid, articulation, 2, 2.7856676030005474, 2.772, articulation, 2, 2020_Aug_14_1206, 2102.534030103
experiment, 45, ./mid/dyn_10.mid, dynamics, 3, 0.9615425459996914, 0.947, articulation, 2, 2020_Aug_14_1206, 2103.517427041
experiment, 46, ./mid/dyn_6.mid, dynamics, 2, 1.4832509510006275, 1.47, dynamics, 2, 2020_Aug_14_1206, 2136.750433796
experiment, 46, ./mid/dyn_6.mid, articulation, 2, 1.0830286689997592, 1.069, dynamics, 2, 2020_Aug_14_1206, 2137.8558197579996
